Id,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
1461,80.0,5,1961,1961,0.0,468.0,882.0,896,0,896,1,5,0,1961.0,1.0,730.0,140,0
1462,81.0,6,1958,1958,108.0,923.0,1329.0,1329,0,1329,1,6,0,1958.0,1.0,312.0,393,36
1463,74.0,5,1997,1998,0.0,791.0,928.0,928,701,1629,2,6,1,1997.0,2.0,482.0,212,34
1464,78.0,6,1998,1998,20.0,602.0,926.0,926,678,1604,2,7,1,1998.0,2.0,470.0,360,36
1465,43.0,8,1992,1992,0.0,263.0,1280.0,1280,0,1280,2,5,0,1992.0,2.0,506.0,0,82
1466,75.0,6,1993,1994,0.0,0.0,763.0,763,892,1655,2,7,1,1993.0,2.0,440.0,157,84
1467,,6,1992,2007,0.0,935.0,1168.0,1187,0,1187,2,6,0,1992.0,2.0,420.0,483,21
1468,63.0,6,1998,1998,0.0,0.0,789.0,789,676,1465,2,7,1,1998.0,2.0,393.0,0,75
1469,85.0,7,1990,1990,0.0,637.0,1300.0,1341,0,1341,1,5,1,1990.0,2.0,506.0,192,0
1470,70.0,4,1970,1970,0.0,804.0,882.0,882,0,882,1,4,0,1970.0,2.0,525.0,240,0
1471,26.0,7,1999,1999,0.0,1051.0,1405.0,1337,0,1337,2,5,1,1999.0,2.0,511.0,203,68
1472,21.0,6,1971,1971,504.0,156.0,483.0,483,504,987,1,5,0,1971.0,1.0,264.0,275,0
1473,21.0,5,1971,1971,492.0,300.0,525.0,525,567,1092,1,6,0,1997.0,1.0,320.0,0,0
1474,24.0,6,1975,1975,0.0,514.0,855.0,855,601,1456,2,6,1,1975.0,2.0,440.0,173,0
1475,24.0,7,1975,1975,0.0,0.0,836.0,836,0,836,1,4,0,1975.0,1.0,308.0,0,30
1476,102.0,9,2009,2010,162.0,0.0,1590.0,1627,707,2334,2,10,1,2009.0,3.0,751.0,144,133
1477,94.0,8,2009,2010,256.0,0.0,1544.0,1544,0,1544,2,7,0,2009.0,3.0,868.0,0,35
1478,90.0,9,2005,2005,615.0,110.0,1698.0,1698,0,1698,2,7,1,2005.0,3.0,730.0,192,74
1479,79.0,8,2005,2006,240.0,28.0,1822.0,1822,0,1822,2,8,1,2005.0,3.0,678.0,0,119
1480,110.0,9,2003,2004,1095.0,1373.0,2846.0,2696,0,2696,2,10,2,2003.0,3.0,958.0,220,150
1481,105.0,8,2002,2002,232.0,578.0,1671.0,1687,563,2250,2,7,1,2002.0,3.0,756.0,238,130
1482,41.0,8,2006,2006,178.0,24.0,1370.0,1370,0,1370,2,6,1,2006.0,2.0,484.0,120,49
1483,100.0,6,2005,2005,0.0,0.0,1324.0,1324,0,1324,2,6,0,2005.0,2.0,430.0,36,23
1484,43.0,7,2006,2006,14.0,16.0,1145.0,1145,0,1145,2,6,0,2006.0,2.0,437.0,100,116
1485,67.0,7,2004,2004,0.0,326.0,384.0,744,630,1374,2,7,1,2004.0,2.0,400.0,100,0
1486,63.0,7,2004,2004,0.0,0.0,847.0,847,886,1733,2,7,1,2004.0,2.0,433.0,144,48
1487,60.0,8,1998,1998,114.0,0.0,1629.0,1645,830,2475,2,7,1,1998.0,3.0,962.0,23,172
1488,73.0,8,2005,2006,226.0,0.0,1595.0,1595,0,1595,2,6,1,2005.0,3.0,880.0,144,0
1489,92.0,7,2009,2010,0.0,0.0,1218.0,1218,0,1218,2,4,0,2009.0,2.0,676.0,0,136
1490,84.0,6,2005,2005,0.0,1414.0,1468.0,1468,0,1468,2,6,1,2005.0,2.0,528.0,0,102
1491,70.0,7,2004,2004,122.0,0.0,831.0,831,828,1659,2,8,0,2004.0,2.0,484.0,144,68
1492,70.0,5,1920,1950,0.0,0.0,816.0,1012,0,1012,1,5,0,1920.0,1.0,429.0,121,0
1493,39.0,6,1974,2002,250.0,126.0,1208.0,1494,0,1494,2,7,2,1974.0,2.0,461.0,296,0
1494,85.0,8,1993,1993,504.0,250.0,1231.0,1251,1098,2349,2,9,1,1993.0,3.0,762.0,32,130
1495,88.0,8,1992,1993,180.0,1129.0,1390.0,1402,823,2225,2,7,1,1992.0,3.0,713.0,198,30
1496,25.0,7,2004,2005,0.0,1298.0,1488.0,1488,0,1488,2,6,1,2004.0,2.0,506.0,168,50
1497,39.0,7,2004,2004,0.0,0.0,840.0,840,840,1680,2,3,0,2004.0,2.0,588.0,0,111
1498,30.0,7,2004,2004,120.0,280.0,600.0,600,600,1200,2,4,0,2004.0,2.0,480.0,0,172
1499,24.0,7,2004,2005,0.0,368.0,600.0,600,600,1200,2,4,0,2004.0,2.0,480.0,0,172
1500,24.0,6,2005,2005,216.0,376.0,600.0,600,636,1236,2,4,0,2005.0,2.0,480.0,0,166
1501,,6,2000,2000,1159.0,466.0,756.0,756,756,1512,2,5,0,2000.0,2.0,440.0,0,32
1502,,7,2003,2003,0.0,244.0,530.0,530,550,1080,2,4,0,2003.0,2.0,496.0,0,50
1503,57.0,8,2010,2010,0.0,1032.0,1642.0,1418,0,1418,1,6,1,2010.0,3.0,852.0,160,192
1504,68.0,8,2000,2000,0.0,484.0,975.0,975,873,1848,2,7,1,2000.0,2.0,592.0,280,184
1505,80.0,7,2002,2002,0.0,833.0,1492.0,1492,0,1492,2,6,1,2002.0,2.0,596.0,277,137
1506,,6,1967,1967,120.0,506.0,1829.0,1829,0,1829,2,8,0,1967.0,2.0,535.0,0,76
1507,80.0,6,1993,1993,0.0,1137.0,1280.0,1280,1215,2495,2,9,1,1993.0,2.0,660.0,224,32
1508,,6,1978,1978,0.0,687.0,1224.0,1287,604,1891,3,7,1,1978.0,2.0,678.0,0,69
1509,80.0,6,1971,1971,0.0,329.0,715.0,930,715,1645,1,7,0,1971.0,2.0,441.0,0,78
1510,80.0,5,1966,1966,172.0,698.0,1232.0,1232,0,1232,1,6,0,1966.0,2.0,490.0,0,224
1511,90.0,5,1966,1966,0.0,1059.0,1209.0,1209,0,1209,1,6,0,1966.0,2.0,504.0,0,0
1512,88.0,5,1967,1967,268.0,1010.0,1510.0,1510,0,1510,2,6,0,1967.0,2.0,517.0,0,40
1513,,6,1964,1964,0.0,0.0,533.0,1131,644,1775,2,8,0,1964.0,2.0,480.0,0,172
1514,98.0,5,1962,2001,144.0,1500.0,1728.0,1728,0,1728,2,10,0,,0.0,0.0,0,0
1515,68.0,5,1952,2002,265.0,670.0,1140.0,1929,532,2461,2,7,2,1994.0,2.0,400.0,0,0
1516,120.0,6,1949,1950,340.0,300.0,782.0,1019,537,1556,2,6,1,1949.0,2.0,470.0,0,0
1517,75.0,6,1966,2008,216.0,944.0,1080.0,1128,0,1128,1,5,1,1966.0,1.0,315.0,238,0
1518,70.0,5,1958,1958,0.0,0.0,1604.0,1604,0,1604,2,8,0,1958.0,2.0,576.0,42,0
1519,70.0,7,2003,2009,506.0,1188.0,1480.0,1480,0,1480,2,7,0,2003.0,2.0,620.0,252,73
1520,,5,1959,1959,150.0,856.0,1143.0,1143,0,1143,1,6,0,1959.0,1.0,308.0,0,0
1521,87.0,5,1959,1959,91.0,936.0,1206.0,1206,0,1206,1,6,0,1959.0,1.0,312.0,0,21
1522,80.0,6,1959,1959,432.0,734.0,1244.0,1580,0,1580,1,6,2,1956.0,2.0,440.0,0,28
1523,60.0,4,1956,1956,0.0,0.0,832.0,832,505,1337,1,5,0,1956.0,1.0,263.0,0,0
1524,60.0,5,1952,1952,0.0,339.0,864.0,1064,0,1064,1,4,0,1952.0,1.0,318.0,0,0
1525,119.0,5,1955,1955,0.0,648.0,972.0,972,0,972,1,5,0,1955.0,1.0,305.0,0,0
1526,70.0,5,1958,1958,0.0,532.0,988.0,988,0,988,1,5,0,1958.0,1.0,264.0,0,0
1527,65.0,4,1920,1994,0.0,0.0,576.0,985,0,985,1,4,0,1989.0,2.0,676.0,0,0
1528,60.0,6,1948,2004,0.0,481.0,816.0,816,408,1224,1,5,0,1950.0,1.0,280.0,414,0
1529,81.0,5,1960,1960,0.0,588.0,1175.0,1175,0,1175,1,6,0,1960.0,2.0,484.0,0,0
1530,80.0,6,1963,1984,218.0,717.0,1395.0,1395,0,1395,1,7,1,1963.0,2.0,440.0,657,0
1531,60.0,4,1900,1954,771.0,48.0,709.0,1157,687,1844,1,9,2,1900.0,1.0,240.0,84,0
1532,56.0,5,1920,1950,0.0,579.0,936.0,936,0,936,1,5,1,,0.0,0.0,51,0
1533,69.0,5,1957,1957,0.0,274.0,1347.0,1347,0,1347,1,6,0,1957.0,2.0,551.0,0,0
1534,50.0,6,1938,2000,0.0,0.0,827.0,827,424,1251,1,6,0,1938.0,1.0,240.0,0,0
1535,69.0,5,1948,2009,0.0,780.0,1027.0,1027,606,1633,1,7,1,1948.0,1.0,240.0,0,100
1536,,5,1920,1962,0.0,176.0,1008.0,1060,185,1245,1,6,0,1962.0,1.0,315.0,0,0
1537,68.0,2,1923,1970,0.0,0.0,678.0,832,0,832,1,5,1,1928.0,2.0,780.0,0,0
1538,60.0,8,1900,2003,0.0,0.0,930.0,930,636,1566,2,7,0,1930.0,1.0,288.0,54,228
1539,50.0,8,1890,2002,0.0,0.0,346.0,1157,1111,2268,3,7,0,2003.0,2.0,624.0,0,108
1540,100.0,5,1910,1950,0.0,0.0,840.0,1128,1128,2256,2,12,0,,0.0,0.0,0,18
1541,60.0,6,1922,1994,0.0,283.0,738.0,868,602,1470,1,6,0,1970.0,2.0,624.0,0,0
1542,53.0,5,1950,1997,0.0,788.0,988.0,1030,582,1612,1,7,0,1950.0,1.0,363.0,0,0
1543,,7,1922,2005,0.0,474.0,1108.0,1160,908,2068,1,8,1,1928.0,1.0,315.0,0,0
1544,50.0,4,1925,1950,0.0,188.0,765.0,765,0,765,1,4,0,1926.0,1.0,200.0,135,0
1545,50.0,6,1939,1950,0.0,452.0,608.0,608,524,1132,1,5,0,1939.0,1.0,240.0,0,0
1546,50.0,6,1940,1950,0.0,264.0,572.0,848,348,1196,1,6,2,1973.0,2.0,576.0,0,0
1547,53.0,5,1942,1950,300.0,360.0,835.0,955,498,1453,1,7,2,1942.0,1.0,240.0,0,0
1548,50.0,6,1948,1950,0.0,300.0,780.0,780,636,1416,1,6,0,1948.0,1.0,312.0,221,0
1549,52.0,5,1936,1980,0.0,276.0,528.0,548,492,1040,1,5,0,1979.0,2.0,624.0,306,0
1550,52.0,5,1930,1950,0.0,448.0,928.0,928,608,1536,2,7,1,1930.0,2.0,480.0,0,10
1551,51.0,6,1923,1950,0.0,960.0,1124.0,1068,0,1068,1,5,1,1923.0,1.0,288.0,0,0
1552,57.0,4,1915,1950,0.0,0.0,888.0,888,1074,1962,1,9,1,1915.0,2.0,572.0,160,0
1553,60.0,6,1912,2009,0.0,0.0,780.0,780,780,1560,1,7,0,,0.0,0.0,344,0
