Id,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
1,65.0,7,2003,2003,196.0,706.0,856.0,856,854,1710,2,8,0,2003.0,2.0,548.0,0,61
2,80.0,6,1976,1976,0.0,978.0,1262.0,1262,0,1262,2,6,1,1976.0,2.0,460.0,298,0
3,68.0,7,2001,2002,162.0,486.0,920.0,920,866,1786,2,6,1,2001.0,2.0,608.0,0,42
4,60.0,7,1915,1970,0.0,216.0,756.0,961,756,1717,1,7,1,1998.0,3.0,642.0,0,35
5,84.0,8,2000,2000,350.0,655.0,1145.0,1145,1053,2198,2,9,1,2000.0,3.0,836.0,192,84
6,85.0,5,1993,1995,0.0,732.0,796.0,796,566,1362,1,5,0,1993.0,2.0,480.0,40,30
7,75.0,8,2004,2005,186.0,1369.0,1686.0,1694,0,1694,2,7,1,2004.0,2.0,636.0,255,57
8,,7,1973,1973,240.0,859.0,1107.0,1107,983,2090,2,7,2,1973.0,2.0,484.0,235,204
9,51.0,7,1931,1950,0.0,0.0,952.0,1022,752,1774,2,8,2,1931.0,2.0,468.0,90,0
10,50.0,5,1939,1950,0.0,851.0,991.0,1077,0,1077,1,5,2,1939.0,1.0,205.0,0,4
11,70.0,5,1965,1965,0.0,906.0,1040.0,1040,0,1040,1,5,0,1965.0,1.0,384.0,0,0
12,85.0,9,2005,2006,286.0,998.0,1175.0,1182,1142,2324,3,11,2,2005.0,3.0,736.0,147,21
13,,5,1962,1962,0.0,737.0,912.0,912,0,912,1,4,0,1962.0,1.0,352.0,140,0
14,91.0,7,2006,2007,306.0,0.0,1494.0,1494,0,1494,2,7,1,2006.0,3.0,840.0,160,33
15,,6,1960,1960,212.0,733.0,1253.0,1253,0,1253,1,5,1,1960.0,1.0,352.0,0,213
16,51.0,7,1929,2001,0.0,0.0,832.0,854,0,854,1,5,0,1991.0,2.0,576.0,48,112
17,,6,1970,1970,180.0,578.0,1004.0,1004,0,1004,1,5,1,1970.0,2.0,480.0,0,0
18,72.0,4,1967,1967,0.0,0.0,0.0,1296,0,1296,2,6,0,1967.0,2.0,516.0,0,0
19,66.0,5,2004,2004,0.0,646.0,1114.0,1114,0,1114,1,6,0,2004.0,2.0,576.0,0,102
20,70.0,5,1958,1965,0.0,504.0,1029.0,1339,0,1339,1,6,0,1958.0,1.0,294.0,0,0
21,101.0,8,2005,2006,380.0,0.0,1158.0,1158,1218,2376,3,9,1,2005.0,3.0,853.0,240,154
22,57.0,7,1930,1950,0.0,0.0,637.0,1108,0,1108,1,6,1,1930.0,1.0,280.0,0,0
23,75.0,8,2002,2002,281.0,0.0,1777.0,1795,0,1795,2,7,1,2002.0,2.0,534.0,171,159
24,44.0,5,1976,1976,0.0,840.0,1040.0,1060,0,1060,1,6,1,1976.0,2.0,572.0,100,110
25,,5,1968,2001,0.0,188.0,1060.0,1060,0,1060,1,6,1,1968.0,1.0,270.0,406,90
26,110.0,8,2007,2007,640.0,0.0,1566.0,1600,0,1600,2,7,1,2007.0,3.0,890.0,0,56
27,60.0,5,1951,2000,0.0,234.0,900.0,900,0,900,1,5,0,2005.0,2.0,576.0,222,32
28,98.0,8,2007,2008,200.0,1218.0,1704.0,1704,0,1704,2,7,1,2008.0,3.0,772.0,0,50
29,47.0,5,1957,1997,0.0,1277.0,1484.0,1600,0,1600,1,6,2,1957.0,1.0,319.0,288,258
30,60.0,4,1927,1950,0.0,0.0,520.0,520,0,520,1,4,0,1920.0,1.0,240.0,49,0
31,50.0,4,1920,1950,0.0,0.0,649.0,649,668,1317,1,6,0,1920.0,1.0,250.0,0,54
32,,5,1966,2006,0.0,0.0,1228.0,1228,0,1228,1,6,0,1966.0,1.0,271.0,0,65
33,85.0,8,2007,2007,0.0,0.0,1234.0,1234,0,1234,2,7,0,2007.0,2.0,484.0,0,30
34,70.0,5,1959,1959,0.0,1018.0,1398.0,1700,0,1700,1,6,1,1959.0,2.0,447.0,0,38
35,60.0,9,2005,2005,246.0,1153.0,1561.0,1561,0,1561,2,6,1,2005.0,2.0,556.0,203,47
36,108.0,8,2004,2005,132.0,0.0,1117.0,1132,1320,2452,3,9,1,2004.0,3.0,691.0,113,32
37,112.0,5,1994,1995,0.0,0.0,1097.0,1097,0,1097,1,6,0,1995.0,2.0,672.0,392,64
38,74.0,5,1954,1990,650.0,1213.0,1297.0,1297,0,1297,1,5,1,1954.0,2.0,498.0,0,0
39,68.0,5,1953,2007,0.0,731.0,1057.0,1057,0,1057,1,5,0,1953.0,1.0,246.0,0,52
40,65.0,4,1955,1955,0.0,0.0,0.0,1152,0,1152,2,6,0,,0.0,0.0,0,0
41,84.0,6,1965,1965,101.0,643.0,1088.0,1324,0,1324,2,6,1,1965.0,2.0,440.0,0,138
42,115.0,5,1959,1959,0.0,967.0,1350.0,1328,0,1328,1,5,2,1959.0,1.0,308.0,0,104
43,,5,1983,1983,0.0,747.0,840.0,884,0,884,1,5,0,1983.0,2.0,504.0,240,0
44,,5,1975,1980,0.0,280.0,938.0,938,0,938,1,5,0,1977.0,1.0,308.0,145,0
